la_code,name,imd_2015,pcsmoke_12,pcsmoke_13,pcsmoke_14,pcsmoke_15,pc_pa_12,pc_pa_13,pc_pa_14,pc_pa_15,excess_wt_12_14,dm_10_11,dm_10_11,dm_10_11,dm_10_11,dm_10_11
E07000144,Broadland,11.07,15.65,10.40,13.71,12.76,60.73,57.30,59.62,62.12,68.26855162,5.07,5.33,5.53,5.72,5.71
E07000145,Great Yarmouth,32.37,22.74,18.55,19.18,24.10,49.33,55.00,53.49,50.89,69.17225415,6.40,6.82,7.22,7.58,7.70
E07000146,King's Lynn and West Norfolk,23.40,21.20,15.40,16.23,17.54,56.57,56.71,56.54,49.73,71.58990415,6.95,7.19,7.39,7.43,7.76
E07000147,North Norfolk,21.34,15.90,13.36,14.05,12.26,53.75,57.73,51.96,53.17,72.33829879,6.30,6.63,6.86,7.20,7.25
E07000148,Norwich,28.79,23.22,27.41,25.34,18.88,61.80,59.38,61.08,59.49,55.51397892,4.23,4.36,4.52,4.58,4.55
E07000149,South Norfolk,13.03,17.17,18.82,10.48,10.22,62.32,56.97,58.72,63.44,62.85736776,4.77,5.02,5.32,5.57,5.68
E07000150,Corby,25.77,21.55,18.92,29.78,32.29,52.24,48.61,60.11,53.35,71.22599102,5.22,5.56,5.76,6.03,6.15
E07000151,Daventry,13.50,20.25,9.37,11.79,13.51,60.03,61.65,62.58,57.87,66.50238939,5.11,5.19,5.43,5.57,5.59
E07000152,East Northamptonshire,14.15,18.93,16.64,18.30,21.70,56.63,56.24,56.82,58.62,68.97975637,5.72,5.97,6.37,6.68,6.69
E07000153,Kettering,18.93,19.29,13.12,14.25,19.02,59.01,54.41,53.18,57.49,66.74271028,5.17,5.45,5.77,5.97,6.12
