msoa_code,imd15_score
E02001224,8.48
E02001225,6.13
E02001226,14.05
E02001227,2.59
E02001228,4.61
E02001229,17.09
E02001230,16.77
E02001231,21.70
E02001232,38.15
E02001233,31.22
E02001234,44.27
E02001235,26.18
E02001236,44.00
E02001237,28.67
E02001238,25.44
E02001239,29.36
E02001240,24.14
E02001241,52.43
E02001242,16.34
E02001243,18.84
E02001244,15.55
E02001245,31.26
E02001246,34.93
E02001247,29.24
E02001248,37.92
E02001249,29.14
E02001250,14.20
E02001251,19.17
E02001252,15.07
E02001253,22.08
E02001254,28.98
E02001255,60.36
E02001256,39.56
E02001257,33.95
E02001258,15.55
E02001259,37.18
E02001260,12.87
E02001261,24.42
E02001262,25.59
E02001263,7.78
E02001264,16.28
E02001265,16.66
E02001266,23.50
E02001267,19.12
E02001268,9.62
E02001269,23.10
E02001270,8.65
E02001271,16.58
E02001272,8.41
E02001273,9.54
E02001274,4.86
E02001275,41.75
E02001276,20.18
E02001277,26.69
E02001278,5.60
E02001279,5.13
E02001280,21.92
E02001281,4.78
E02001282,8.46
E02001283,9.19
E02001284,3.87
E02001285,5.46
E02001286,5.61
E02001287,9.66
E02001288,13.08
E02001289,11.21
E02001290,16.87
E02001291,29.05
E02001292,13.04
E02001293,17.28
E02001294,22.27
E02001295,47.18
E02001296,63.30
E02001297,30.17
E02001298,43.76
E02001299,21.78
E02001300,28.42
E02001301,40.12
E02001302,32.03
E02001303,44.79
E02001304,10.98
E02001305,15.71
E02001306,16.80
E02001307,7.25
E02001308,21.38
E02001309,19.07
E02001310,37.34
E02001311,24.37
E02001312,27.45
E02001313,40.04
E02001314,12.19
E02001315,13.50
E02001316,41.45
E02001317,29.71
E02001318,23.45
E02001319,41.64
E02001320,25.85
E02001321,16.56
E02001322,16.65
E02001323,22.55
E02001324,24.45
E02001325,12.34
E02001326,14.86
E02001327,62.59
E02001328,27.33
E02001329,59.60
E02001330,52.16
E02001331,51.08
E02001332,56.48
E02001333,48.21
E02001334,71.62
E02001335,20.61
E02001336,69.55
E02001337,37.05
E02001338,40.94
E02001339,41.16
E02001340,18.78
E02001341,48.17
E02001342,16.40
E02001343,16.07
E02001344,31.38
E02001345,15.74
E02001346,45.72
E02001347,37.01
E02001348,33.98
E02001349,32.21
E02001350,49.27
E02001351,51.35
E02001352,52.96
E02001353,19.82
E02001354,50.03
E02001355,55.21
E02001356,57.98
E02001357,55.77
E02001358,62.78
E02001359,27.99
E02001360,68.97
E02001361,48.15
E02001362,37.95
E02001363,51.68
E02001364,71.47
E02001365,63.54
E02001366,53.04
E02001367,19.30
E02001368,66.12
E02001369,57.41
E02001370,75.32
E02001371,50.18
E02001372,38.55
E02001373,44.66
E02001374,65.10
E02001375,44.58
E02001376,60.17
E02001377,38.49
E02001378,37.80
E02001380,19.44
E02001381,49.28
E02001382,12.66
E02001383,49.03
E02001384,30.17
E02001385,67.92
E02001386,52.80
E02001387,9.60
E02001388,20.98
E02001389,53.42
E02001390,62.99
E02001391,51.77
