date,geography,geography code,Rural Urban,Distance travelled to work: All categories: Distance travelled to work; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Distance travelled to work: Total distance (km); measures: Value,Distance travelled to work: Average distance (km); measures: Value
2011,Harrogate,E07000165,Total,81402,17691,12864,7742,11045,7440,2801,1289,2623,12145,5762,1073201.8,16.9
2011,Richmondshire,E07000166,Total,27795,6558,3453,2625,3418,1540,937,867,1433,4910,2054,441812.1,21.2
2011,Ryedale,E07000167,Total,25504,4719,1947,2275,3896,2231,1030,872,1379,5114,2041,398988.8,21.7
2011,Scarborough,E07000168,Total,48359,14333,8118,5228,3350,2429,1054,1234,2296,6450,3867,628880.1,16.5
2011,Selby,E07000169,Total,43286,5695,3532,5076,9155,6106,2519,1375,1735,5133,2960,754173.3,21.4
2011,Barnsley,E08000016,Total,103579,16863,19539,17915,18968,8001,1876,1128,3043,7945,8301,1291115.2,14.8
2011,Doncaster,E08000017,Total,133815,20502,25659,26358,19433,8124,3913,3416,4564,11055,10791,1786109,16
2011,Rotherham,E08000018,Total,114871,16294,22228,25968,21791,3246,1690,2459,3550,8748,8897,1393038.1,14.3
2011,Sheffield,E08000019,Total,244318,43491,60057,55808,23191,5489,3318,6474,8702,18553,19235,2895284.3,14
2011,Bradford,E08000032,Total,218937,39380,50949,40852,34717,9010,1785,2804,4745,19312,15383,2333165.5,12.7
2011,Calderdale,E08000033,Total,96645,17372,21761,18300,12837,5308,2047,1098,1729,9506,6687,980143.9,12.2
2011,Kirklees,E08000034,Total,192397,31917,40980,36147,32259,10152,3696,2237,4079,17716,13214,2050413.4,12.7
2011,Leeds,E08000035,Total,355225,55977,78034,85954,51690,11317,3815,4283,10005,29647,24503,3980077.1,13.2
2011,Wakefield,E08000036,Total,151828,25780,28550,26788,32850,8223,2945,1214,3768,11373,10337,1755099.6,13.5
2011,Derby,E06000015,Total,112422,22119,35130,15049,12100,5409,1547,2514,3368,7829,7357,1227184.6,12.6
2011,Leicester,E06000016,Total,137494,31686,44409,21896,7887,4013,2896,2401,4023,9392,8891,1281186.8,10.7
2011,Nottingham,E06000018,Total,123218,25562,35486,22556,8830,3666,1772,1395,5733,8856,9362,1428854.1,13.6
2011,Rutland,E06000017,Total,18037,3929,1198,2152,2356,1574,953,620,976,3011,1268,284005.2,20.6
2011,Amber Valley,E07000032,Total,59381,9926,9197,10471,13412,3083,752,832,1737,5697,4274,687287.7,13.9
2011,Bolsover,E07000033,Total,34511,4941,4298,6957,7472,2733,888,598,1294,2855,2475,480093,16.5
2011,Chesterfield,E07000034,Total,47901,9511,12080,6579,7244,1639,1266,744,1578,3755,3505,572645.8,14.1
